wave,type,slug,title,audience,conversion,priority,status,notes
1,directory,directory,The Universal Owner Directory,both,advertiser-call,P0,drafted-in-repo,Wave 1 publish pack
1,directory,directory/legal,Legal counsel for asset owners,both,advertiser-call,P0,drafted-in-repo,Wave 1 publish pack
1,directory,directory/accounting,Accounting and tax for asset owners,both,advertiser-call,P0,drafted-in-repo,Wave 1 publish pack
1,directory,directory/technology,Technology for asset owners,both,advertiser-call,P0,drafted-in-repo,Wave 1 publish pack
1,directory,directory/investment-banking,Investment banking for asset owners,both,advertiser-call,P0,drafted-in-repo,Wave 1 publish pack
1,explainer,how-pension-funds-retain-counsel,How pension funds retain counsel,both,advertiser-call,P0,drafted-in-repo,Wave 1 publish pack
1,explainer,family-offices-as-universal-owners,Family offices as universal owners,both,brief,P0,drafted-in-repo,Wave 1 publish pack
1,explainer,what-does-a-family-office-cio-do,What does a family-office CIO do?,allocator,brief,P0,drafted-in-repo,Wave 1 publish pack
1,careers,careers/intelligence/relocating-for-an-asset-owner-role,Relocating for an asset-owner role,both,careers-alert,P0,drafted-in-repo,Wave 1 publish pack
1,city,careers/cities/abu-dhabi,Relocating to Abu Dhabi,both,careers-alert,P0,drafted-in-repo,Wave 1 publish pack
1,city,careers/cities/singapore,Relocating to Singapore,both,careers-alert,P0,drafted-in-repo,Wave 1 publish pack
1,city,careers/cities/oslo,Relocating to Oslo,both,careers-alert,P0,drafted-in-repo,Wave 1 publish pack
1,city,careers/cities/toronto,Relocating to Toronto,both,careers-alert,P0,drafted-in-repo,Wave 1 publish pack
1,city,careers/cities/london,Relocating to London,both,careers-alert,P0,drafted-in-repo,Wave 1 publish pack
1,city,careers/cities/riyadh,Relocating to Riyadh,both,careers-alert,P0,drafted-in-repo,Wave 1 publish pack
1,press,press-desk,Press desk — quote UAO,press,press-quote,P0,drafted-in-repo,Wave 1 publish pack
1,advertiser,advertise,Advertise packages,service-provider,advertiser-call,P0,drafted-in-repo,Wave 1 publish pack
2,institution,norges-bank-investment-management-nbim,Norges Bank Investment Management,allocator,brief,P1,live-check,SWF/reserve
2,institution,public-investment-fund-pif,Public Investment Fund (Saudi Arabia),allocator,brief,P1,refresh-drafted,SWF — Wave 20 overwrites /saudi-pif-s-road-to-2-trillion-by-2030/ (kills $1.21T current / $2.67T 2030). Official current language more than US$900bn. Do not mint a 2031 twin
2,institution,adia-abu-dhabi-investment-authority,Abu Dhabi Investment Authority,allocator,brief,P1,live-check,SWF
2,institution,mubadala-investment-company,Mubadala Investment Company,allocator,brief,P1,live-ok,SWF — live already AED 1.4T / US$385bn YE2025. Skip overwrite. Cluster map is Wave 18 /abu-dhabi-three-sovereign-funds/
2,institution,adq-abu-dhabi,ADQ,allocator,brief,P1,refresh-drafted,SWF — Wave 18 (AED 921.7bn total assets at 31 Dec 2024; live still $250–260bn). Do not mint /adq-explained/
2,institution,investment-corporation-of-dubai-icd-explained,Investment Corporation of Dubai,allocator,brief,P1,refresh-drafted,SWF — Wave 19 (AED 1,468,169m total assets at 31 Dec 2024; live homemade ~$400bn). 301 /investment-corporation-of-dubai-icd/ after paste
2,institution,qatar-investment-authority-qia,Qatar Investment Authority,allocator,brief,P1,refresh-drafted,SWF — Wave 17 (no official AUM; live still $510–600bn). 301 short + portfolio twins after paste. Do not mint /qatar-investment-authority-qia-portfolio/
2,institution,kuwait-investment-authority-kia,Kuwait Investment Authority,allocator,brief,P1,refresh-drafted,SWF — Wave 16 (no official AUM; live still $1.07T)
2,institution,gic-singapore-explained,GIC,allocator,brief,P1,live-check,SWF
2,institution,temasek-holdings-explained,Temasek,allocator,brief,P1,live-check,SWF/strategic
2,institution,china-investment-corporation-cic,China Investment Corporation,allocator,brief,P0,needed,SWF
2,institution,safe-china-reserves,SAFE (China),allocator,brief,P0,needed,Reserve
2,institution,hkma-exchange-fund,HKMA Exchange Fund,allocator,brief,P0,needed,Reserve
2,institution,korea-investment-corporation-kic,Korea Investment Corporation,allocator,brief,P0,refresh-drafted,SWF — Wave 16 overwrites /korea-investment-corporation-kic-explained/ (USD 232.0bn). Do not mint short slug
2,institution,future-fund-australia-explained,Future Fund,allocator,brief,P1,live-check,SWF
2,institution,nz-super-fund-explained,NZ Super Fund,allocator,brief,P0,refresh-drafted,SWF/pension-reserve — Wave 9 keeper is /new-zealand-superannuation-fund-explained/. 301 /nz-super-fund-explained/ after paste. Do not mint a third slug
2,institution,cpp-investments-explained,CPP Investments,allocator,brief,P1,live-check,Public pension
2,institution,ontario-teachers-pension-plan,Ontario Teachers' Pension Plan,allocator,brief,P0,needed,Public pension
2,institution,cdpq-explained,CDPQ,allocator,brief,P0,refresh-drafted,Public pension — Wave 12 (CAD $517.3bn at 31 Dec 2025)
2,institution,psp-investments,PSP Investments,allocator,brief,P0,refresh-drafted,Public pension — Wave 16 overwrites /psp-investments-canada-explained/ (C$320.6bn). Do not mint /psp-investments/
2,institution,omers-explained,OMERS,allocator,brief,P0,needed,Public pension
2,institution,aimco-explained,AIMCo,allocator,brief,P0,refresh-drafted,Public pension — Wave 17 overwrites /aimco-alberta-investment-management-corporation/ (C$194.7bn at 31 Dec 2025). Do not mint /aimco-explained/
2,institution,bcimc-bci,BCI,allocator,brief,P0,refresh-drafted,Public pension — Wave 17 overwrites /bci-british-columbia-investment-management/ ($313.7bn gross / $265.4bn net). 301 twins after paste
2,institution,calpers-explained-largest-us-pension-fund,CalPERS,allocator,brief,P1,live-check,Public pension
2,institution,calstrs-explained,CalSTRS,allocator,brief,P1,live-check,Public pension
2,institution,wisconsin-investment-board-swib,SWIB,allocator,brief,P1,live-check,Public pension
2,institution,gpif-japan-explained,GPIF,allocator,brief,P1,live-check,Public pension
2,institution,abp-netherlands-pension-fund-explained,ABP,allocator,brief,P1,live-check,Public pension
2,institution,pfzw-netherlands,PFZW,allocator,brief,P0,refresh-drafted,Public pension — Wave 16 (€252.0bn AUM at 31 Dec 2025; live still €35bn)
2,institution,atp-denmark,ATP,allocator,brief,P0,refresh-drafted,Public pension — Wave 13 keeper /atp-denmark-pension-fund/. 301 /atp-denmark-explained/ after paste
2,institution,alecta-sweden,Alecta,allocator,brief,P0,needed,Public pension
2,institution,uss-universities-superannuation-scheme,USS,allocator,brief,P1,live-check,Public pension
2,institution,uss-explained-merge,USS canonical merge,allocator,brief,P1,merge,Public pension
2,institution,australian-super,AustralianSuper,allocator,brief,P0,live-ok,Public pension — live /australiansuper-explained/ already A$410bn at 31 Dec 2025. Do not mint /australian-super/
2,institution,aware-super,Aware Super,allocator,brief,P0,refresh-drafted,Public pension — Wave 18 overwrites /aware-super-explained/ (over $240bn at 30 Jun 2026). 301 /aware-super-australia-explained/
2,institution,cbus-super,Cbus,allocator,brief,P0,refresh-drafted,Public pension — Wave 18 overwrites /cbus-superannuation-explained/ (more than $115bn at 30 Jun 2026). 301 australia twin
2,institution,nps-korea,National Pension Service (Korea),allocator,brief,P0,refresh-drafted,Public pension — Wave 16 overwrites /national-pension-service-korea-explained/ (KRW 1,848.7tn at end-May 2026)
2,institution,epfo-india,EPFO (India),allocator,brief,P0,needed,Public pension
2,institution,employees-provident-fund-malaysia,EPF Malaysia,allocator,brief,P0,refresh-drafted,Public pension — Wave 21 overwrites /epf-malaysia-employees-provident-fund-explained/ (RM1,409bn at 31 Dec 2025; live RM950bn / USD 190bn). 301 /epf-malaysia/ after paste. No USD AUM
2,institution,gepf-south-africa,GEPF,allocator,brief,P0,needed,Public pension
2,institution,pic-south-africa,Public Investment Corporation,allocator,brief,P0,needed,Public pension
2,institution,previ-brazil,Previ,allocator,brief,P0,needed,Public pension
2,institution,afore-xxi-banorte,Afore XXI Banorte,allocator,brief,P0,needed,Pension
2,institution,yale-investments-office,Yale Investments Office,allocator,brief,P0,refresh-drafted,Endowment — official $44.1bn / 11.1% at 30 Jun 2025 sits on Wave 14 Yale-model + Wave 15 category + Wave 17 list. Do not mint a third Yale synonym
2,institution,harvard-management-company,Harvard Management Company,allocator,brief,P0,refresh-drafted,Endowment — official $56.9bn / 11.9% at 30 Jun 2025 on Wave 15 category + Wave 17 list. Do not mint /harvard-endowment-explained/
2,institution,stanford-management-company,Stanford Management Company,allocator,brief,P0,refresh-drafted,Endowment — Wave 17 list: endowment $40.8bn at 31 Aug 2025; Merged Pool $47.7bn / 14.3% at 30 Jun 2025. Do not treat the pool as endowment AUM
2,institution,princeton-investment-company,PRINCO,allocator,brief,P0,refresh-drafted,Endowment — Wave 17 list: PRINCO $36.4bn / 11.0% at 30 Jun 2025
2,institution,mit-investment-management-company,MITIMCo,allocator,brief,P0,needed,Endowment
2,institution,university-of-texas-imf,UTIMCO,allocator,brief,P0,needed,Endowment
2,institution,wellcome-trust,Wellcome Trust,allocator,brief,P0,needed,Foundation
2,institution,gates-foundation-trust,Gates Foundation Trust,allocator,brief,P0,needed,Foundation
2,institution,ford-foundation,Ford Foundation,allocator,brief,P0,needed,Foundation
2,institution,khazanah-explained,Khazanah,allocator,brief,P0,refresh-drafted,Q&A /is-khazanah-a-sovereign-wealth-fund/ Wave 12; institution /khazanah-nasional-malaysia-explained/ Wave 17 (RM105bn NAV). Do not 301. Do not mint /khazanah-explained/
2,institution,mumtalakat-bahrain,Mumtalakat,allocator,brief,P0,refresh-drafted,SWF — Wave 11 keeper /mumtalakat-bahrain-explained/. 301 /bahrain-mumtalakat-holding-explained/ after paste
2,institution,qia-vs-adia,QIA vs ADIA,allocator,brief,P0,needed,Comparison
2,institution,nbim-vs-gic,NBIM vs GIC,allocator,brief,P0,refresh-drafted,Comparison — Wave 22 overwrites /nbim-vs-gic/ (kills $1.3T / $1T / $688bn). Official 22,683bn kroner vs GIC no AUM. Legal name GIC Private Limited
2,institution,cpp-vs-calpers,CPP Investments vs CalPERS,allocator,brief,P0,needed,Comparison
2,institution,otpp-vs-cdpq,OTPP vs CDPQ,allocator,brief,P0,needed,Comparison
2,institution,pif-vs-mubadala,PIF vs Mubadala,allocator,brief,P0,refresh-drafted,Comparison — Wave 22 overwrite (kills PIF $1.15T / ADIA $1.18T / $700bn / $500bn NEOM). Official PIF more than US$900bn; Mubadala AED 1.4T / US$385bn; ADIA no AUM
2,institution,mgx-abu-dhabi-ai-fund,MGX,allocator,brief,P1,live-check,SWF/vehicle
2,institution,adnoc-investment,ADNOC investment vehicles,allocator,brief,P0,needed,Strategic
2,institution,aramco-sovereign-adjacent,Aramco as owner-adjacent capital,allocator,brief,P0,needed,Strategic
2,institution,norges-governance-ministry-finance,NBIM and the Ministry of Finance,allocator,brief,P0,needed,Governance
2,institution,alaska-permanent-fund-explained,Alaska Permanent Fund,allocator,brief,P0,refresh-drafted,SWF — Wave 12 ($91.3bn at 30 Jun 2026 unaudited)
2,institution,alberta-heritage-fund,Alberta Heritage Savings Trust Fund,allocator,brief,P0,needed,SWF
2,institution,texas-permanent-school-fund,Texas Permanent School Fund,allocator,brief,P0,needed,SWF-like
2,institution,new-mexico-state-investment-council,NMSIC,allocator,brief,P0,needed,Public pension/SWF-like
2,institution,irish-strategic-investment-fund,ISIF,allocator,brief,P0,needed,Strategic
2,institution,bpifrance,Bpifrance,allocator,brief,P0,needed,Strategic
2,institution,kfw-capital,KfW Capital,allocator,brief,P0,needed,Development
2,institution,cdc-group-bii,British International Investment,allocator,brief,P0,needed,Development
2,institution,ifc-as-owner-adjacent,IFC as owner-adjacent,allocator,brief,P0,needed,Development
2,institution,adib-vs-owner,Do not confuse banks with owners — explainer,allocator,brief,P0,needed,Explainer
2,institution,new-york-state-common-retirement,NYS Common Retirement Fund,allocator,brief,P0,needed,Public pension
2,institution,new-york-city-crs,NYC Retirement Systems,allocator,brief,P0,needed,Public pension
2,institution,florida-sba,Florida State Board of Administration,allocator,brief,P0,refresh-drafted,Public pension — Wave 21 overwrites /florida-state-board-of-administration-explained/ (FRS Pension $234.84bn unaudited 29 May 2026; live $300bn+). Do not mint /florida-sba/
2,institution,texas-trs,Teacher Retirement System of Texas,allocator,brief,P0,refresh-drafted,Public pension — Wave 20 overwrites /texas-teacher-retirement-system-explained/ ($225.3bn at 31 Aug 2025; live still $295bn / 89.4%). Do not mint /texas-trs/
2,institution,calstrs-vs-calpers,CalSTRS vs CalPERS,allocator,brief,P0,needed,Comparison
2,institution,ohio-opers,OPERS,allocator,brief,P0,needed,Public pension
2,institution,ohio-str,STRS Ohio,allocator,brief,P0,needed,Public pension
2,institution,michigan-sistf,Michigan State Treasurer / SISTF,allocator,brief,P0,needed,Public pension
2,institution,pennsylvania-psers,PSERS,allocator,brief,P0,needed,Public pension
2,institution,pennsylvania-sers,SERS Pennsylvania,allocator,brief,P0,needed,Public pension
2,institution,new-jersey-division-of-investment,NJ Division of Investment,allocator,brief,P0,needed,Public pension
2,institution,north-carolina-treasurer,North Carolina Treasurer,allocator,brief,P0,needed,Public pension
2,institution,washington-state-investment-board,WSIB,allocator,brief,P0,needed,Public pension
2,institution,oregon-pers-investments,Oregon State Treasury / PERS,allocator,brief,P0,needed,Public pension
2,institution,massachusetts-prim,PRIM,allocator,brief,P0,needed,Public pension
2,institution,virginia-retirement-system,VRS,allocator,brief,P0,needed,Public pension
2,institution,georgia-trs,TRS Georgia,allocator,brief,P0,needed,Public pension
2,institution,illinois-isbi,ISBI,allocator,brief,P0,needed,Public pension
2,institution,illinois-trs,TRS Illinois,allocator,brief,P0,needed,Public pension
2,institution,los-angeles-lacroa,LACERA,allocator,brief,P0,needed,Public pension
2,institution,san-francisco-sfers,SFERS,allocator,brief,P0,needed,Public pension
2,institution,teacher-retirement-system-of-texas-cio,TRS Texas CIO office,allocator,brief,P0,needed,Public pension
2,institution,cpp-vs-otpp-vs-cdpq,The Canadian large-plan triangle,allocator,brief,P0,needed,Comparison
2,institution,unjps-united-nations,UNJSPF,allocator,brief,P0,needed,Pension
2,institution,cern-pension-fund,CERN Pension Fund,allocator,brief,P0,needed,Pension
2,institution,european-investment-fund,EIF as owner-adjacent,allocator,brief,P0,needed,Development
2,institution,european-investment-bank-treasury,EIB treasury as owner-adjacent,allocator,brief,P0,needed,Development
